"","Androgen","EGFR","Estrogen","Hypoxia","JAK-STAT","MAPK","NFkB","p53","PI3K","TGFb","TNFa","Trail","VEGF","WNT"
"s1",0.170914018149472,-0.276074298255066,1.87973656564092,0.514511483763223,-1.03095771715213,-0.472927359786748,0.391925042939005,-1.35818419074558,-0.281810355298239,-0.470160263732235,0.477756606568957,0.350493026344365,-0.403951962359968,1.60781918990032
"s2",-0.496207610652794,0.558341212964585,0.215546122066556,-0.797079417529055,-0.222104847535035,0.707831903015348,0.171308517678588,0.829107374101255,0.627465649824309,0.20489335572263,-0.487624838719225,0.349589961703895,0.695822915777476,-0.515572384740168
"s3",-0.547874222384872,0.580259204211914,-1.44380326919223,0.757142368172327,0.593376376322974,0.226869811173522,1.08073267288612,1.20459821730486,1.67614798673553,-2.08553505423372,0.333368283122052,0.769719089763778,-0.262316594275514,0.0622260128686502
"s4",0.249202583074227,1.2658972703349,-0.776450202499493,0.919533075262946,-0.94678011449547,1.37181097896678,-1.22449106233399,-0.104522144306827,0.0900675888131213,0.606956367687325,-0.328795845592506,-1.36294063529815,-0.973744088748485,-0.329419585855739
"wt1",2.2467736580788,0.671494007903785,0.442092918110936,1.0308189271612,-1.22177978541856,0.621857867101921,-1.53120581919176,-0.111612293255537,-1.44917947770973,1.35494620111881,-1.30072126321473,0.045835200383777,1.87506434810395,-1.34664306014757
"wt2",-0.0289857654430306,-0.629197057043842,-0.0676112528151668,-0.829711169384674,0.411374994960904,-0.0313422504738937,-0.235770351173521,-1.39238500025141,-1.20742069268576,0.224971782999546,-0.799761599925676,0.72332814900234,0.566238801161098,-0.854401831179761
"wt3",-0.649719394055777,-0.228028585461585,0.376015088761289,0.112824278366348,1.37680915143495,-0.499254506724955,0.025048607403492,1.02305043616461,0.234059005078726,-0.162154918632882,0.11318639118235,0.865032624362234,-1.18358472665569,1.21077048698735
"wt4",-0.944103266766012,-1.94269175465468,-0.625525970072886,-1.70803954581235,1.04006194188237,-1.92484644327193,1.32245239179207,-0.0900523990112328,0.310670295242074,0.326082529070478,1.9925922665788,-1.74105741626224,-0.313528693002866,0.165221172166907
