"","s1","s2","s3","s4","wt1","wt2","wt3","wt4"
"6030468B19Rik",5.89610679115891,6.15577055029055,5.89610679115891,5.89610679115891,5.89610679115891,6.08172843590002,5.89610679115891,5.89610679115891
"AA986860",7.7563233039373,7.5485209857921,7.36720281385103,7.86822548651308,7.93482785618048,7.69058106999499,7.28778003205257,7.66904030919269
"Abca12",5.89610679115891,6.21391509916433,5.89610679115891,6.07467894218709,6.26907179084342,5.89610679115891,5.89610679115891,5.89610679115891
"Ankrd37",6.81738367952463,6.88373960996995,7.62392968620418,7.05034538266367,6.7211187400778,6.80952253378531,6.95994190274604,6.72824591583731
"Ankzf1",9.98773779323234,9.80841169731452,10.008175732644,9.80922454620446,9.95132302705727,9.9238794181604,9.95883625556897,10.3060425969118
"Atp6v1g2",8.2094571915975,8.33019999868925,8.01047975373454,8.06367030484894,8.4388879675886,8.16186856789453,7.83894148548593,7.81759306343871
"Bmp7",7.03496313966581,6.68756279932853,6.83074800793064,6.85695414831814,6.67981819428775,6.50758163728137,6.70457981512505,6.5500619239233
"Bmpr2",14.090547415808,14.2866601617457,13.7426613165203,14.5397991696004,14.6705942490672,14.2181590276986,13.8699157460681,13.7917782005704
"Bnip3l",12.5180951804575,12.59588140079,12.3395149759487,12.6760796103261,12.7653954013978,12.6432352049955,12.6850862683235,12.4814568019027
"Ccl20",6.29803078855098,6.34465610587994,6.3346768117053,5.89610679115891,5.89610679115891,6.08172843590002,5.89610679115891,5.89610679115891
"Col4a1",15.1387959659449,15.2885486489506,15.0545066853834,15.6018815879739,15.5132594599508,15.2178090243511,14.7128546961861,14.7046542380281
"Comp",6.81738367952463,6.85144119148489,6.70896452025168,6.79273105011188,7.06155596827352,7.04063999748949,7.45703591202097,7.50978589336761
"Cript",10.6925756408746,10.7389861142334,10.751146254673,10.6672259671194,10.8369581832449,10.8069080328158,10.8945526308214,10.5611514920048
"Csf2",6.37106134488973,6.15577055029055,6.46086791217885,6.29439516944984,5.89610679115891,6.15843500541619,6.380443117141,6.38094539732932
"Csf3r",10.0864108669178,10.3008916990151,11.3306414827634,9.94965853312909,9.98316053194339,10.7876783426006,11.1382680423865,10.7879561570957
"Cxcl12",12.5086810887187,12.6339225839586,11.9174370587119,12.1826100326634,13.105695453021,12.1218977175661,12.5344973651507,11.5232873140425
"Dusp4",10.6038055816101,11.1653378264741,10.2731498597486,11.3633803553612,11.081247954956,11.0326016216995,10.1650492795034,10.0004185968452
"Dusp5",10.0347172109775,9.90948396901303,10.3752845984317,10.0750945554567,10.0044692525109,9.59245368750143,9.99773182677719,9.38674784931582
"Dusp6",12.9014996859827,13.1030327151243,13.249300658483,13.3307972624796,13.1347165357611,13.0330239436423,13.1680965687097,12.7089286313446
"Efna1",12.5283574811462,12.1498353893671,12.1188908645183,12.4137326933667,12.469812467222,12.1145280744923,11.9561326577742,12.2043667349449
"Eno2",6.56482869845283,6.21391509916433,6.87778423255409,6.53513221001713,6.51164362039391,6.08172843590002,6.6052233614111,6.09481697102669
"Epha2",10.7262876343069,10.8857435930604,10.6926499593265,11.0578874098507,10.9078644647534,10.498285171385,10.3276387084682,10.3252986930677
"Etv5",9.86451766907505,10.2740350154064,10.5404642400675,10.0578333207151,10.3499131312189,10.4913641897343,10.640377511711,10.6205129321699
"Fgf20",5.89610679115891,5.89610679115891,6.14996379420766,5.89610679115891,5.89610679115891,6.15843500541619,5.89610679115891,5.89610679115891
"Fgf3",5.89610679115891,5.89610679115891,5.89610679115891,6.07467894218709,5.89610679115891,5.89610679115891,5.89610679115891,5.89610679115891
"Frmpd1",5.89610679115891,5.89610679115891,5.89610679115891,5.89610679115891,5.89610679115891,5.89610679115891,5.89610679115891,6.45508542646812
"Gls2",7.70137499071969,7.65929711949089,7.89631602388359,7.53048396904716,6.94696690078239,7.29179257508883,7.43589157171675,7.40486656627875
"Gnl3l",10.4508268430526,10.6513556151449,10.5538537911033,10.7546056736369,10.4525638310139,10.4953231148426,10.2194913763992,10.21122060794
"Gnptg",10.5855497901626,10.5496721024039,10.6189932858764,10.525768489334,10.4962681258698,10.5918360135893,10.7014107721156,10.4833289577806
"Greb1",6.07631732975033,5.89610679115891,5.89610679115891,6.07467894218709,5.89610679115891,6.15843500541619,5.89610679115891,5.89610679115891
"Has3",6.7302512701309,6.66694792249285,6.74575655207287,6.77584404381679,7.02021375903045,6.50758163728137,6.51946249514938,6.29259245738118
"Herc6",10.0372825693358,10.3413362505775,10.2425829109896,10.2316788346558,10.1769721293128,10.1915936420938,10.3861417506151,10.1361170223188
"Hey2",6.48998424143636,6.55331854298694,6.29671962740455,6.20500989797615,6.45363765800286,6.08172843590002,6.33858625096439,6.70540460727028
"Icam1",13.1664889627638,12.9353711746413,12.9720069711888,12.9664356101031,12.8229113516444,12.9188455136195,12.9262428952482,13.1837650123155
"Ifnar2",12.5464232158489,12.5838842530736,12.5012263188814,12.5122372743581,12.5087298749987,12.7620044406432,13.1130753385073,13.182360687413
"Il6",7.24342209975075,7.35976235424011,7.6961141495697,7.09893879170441,7.08816178162899,7.48614768565502,7.52812532811833,7.11708736796011
"Inpp5k",12.5461987849965,12.3365322035179,11.8740322872878,12.4844442384077,12.5870732419943,12.4581865150501,12.4243967674415,12.4673988471071
"Insig2",11.3577264265658,11.2312902881772,11.0451075429937,11.2601689381412,11.2323888277191,11.1501524200333,11.0942049622291,11.0477515628491
"Jchain",9.177730394725,8.5945242865389,9.1127074774312,9.27923586070497,8.2307963818484,8.42946538958488,9.22028469218188,8.82706955087439
"Kcnk10",6.2558296647289,6.15577055029055,6.25465468093995,6.07467894218709,6.35226432199736,5.89610679115891,5.89610679115891,5.89610679115891
"Kdm3a",11.7016511685203,11.7455351433025,11.5453853199053,11.860858950209,11.9036232339243,11.6924865548233,11.5624879694246,11.474188107189
"Klhl14",6.89605794605188,6.47365236283663,6.68985978483499,6.80926744954706,6.08297835438511,6.38520867613217,6.7710672967036,6.48853739743851
"Krt23",7.04777161303728,6.74612846644202,6.87778423255409,6.916608231412,6.97697038085116,6.80952253378531,7.00948239698932,6.72824591583731
"Lmcd1",9.88461740557279,9.75587559001659,8.9664559098088,9.80182760616779,9.87930039850465,9.2849668245806,9.25570178537449,9.77204339467133
"Ltb",9.86740640165795,8.82866151926221,9.78356695545148,9.43901712028129,8.24571778488219,8.66010134526679,9.39645692452946,9.21722556054548
"Lztfl1",9.93090765706501,9.96518991386199,9.77441782914062,9.79885808292269,9.93809184606528,9.94143250756743,9.54221300598962,9.74362494257474
"Mboat2",6.43396956770328,6.38027388117573,6.14996379420766,6.14848526038729,6.51164362039391,6.31003454269232,6.57792011366423,5.89610679115891
"Mccc1",10.050040946122,10.1465459818618,10.0791473519218,10.1595714835993,10.1606259781387,10.1569899464002,9.78618950494663,10.1959529909078
